Folder name,Image_1,Image_2,Matched
n008306,000000000285.jpg,0035_01.jpg,6
n008307,0006_01.jpg,000000000632.jpg,6
n008308,0012_01.jpg,000000000724.jpg,6
n008309,000000001425.jpg,0013_01.jpg,6
n008310,0018_01.jpg,000000001503.jpg,6
n008311,0031_01.jpg,000000001584.jpg,6
n008312,000000001675.jpg,0019_01.jpg,6
n008313,000000001761.jpg,0006_01.jpg,6
n008316,000000001818.jpg,0008_01.jpg,6
n008318,0011_01.jpg,000000001993.jpg,6
n008319,000000002006.jpg,0020_01.jpg,6
n008320,000000002149.jpg,0025_01.jpg,6
n008321,0031_01.jpg,000000002157.jpg,6
n008322,0023_01.jpg,000000002431.jpg,6
n008323,0011_01.jpg,000000002587.jpg,6
n008324,0005_01.jpg,000000002923.jpg,6
n008326,000000003255.jpg,0009_01.jpg,6
n008327,000000003501.jpg,0019_01.jpg,6
n008328,0012_01.jpg,000000003553.jpg,6
n008329,000000003661.jpg,0009_01.jpg,6
n008330,000000003845.jpg,0201_01.jpg,6
n008332,0015_01.jpg,000000004495.jpg,6
n008333,000000004795.jpg,0021_01.jpg,6
n008334,0020_01.jpg,000000005037.jpg,6
n008335,000000005477.jpg,0020_01.jpg,6
n008336,000000005600.jpg,0015_01.jpg,6
n008337,000000006012.jpg,0026_01.jpg,6
n008338,000000006040.jpg,0027_01.jpg,6
n008339,0027_01.jpg,000000006213.jpg,6
n008340,0023_01.jpg,000000006614.jpg,6
n008341,0036_01.jpg,000000006723.jpg,6
n008342,000000006818.jpg,0001_01.jpg,6
n008343,000000007784.jpg,0001_01.jpg,6
n008344,0023_01.jpg,000000007888.jpg,6
n008345,0020_01.jpg,000000008277.jpg,6
n008346,0071_01.jpg,000000008629.jpg,6
n008347,0001_01.jpg,000000010092.jpg,6
n008348,0010_01.jpg,000000010977.jpg,6
n008349,0016_01.jpg,000000010995.jpg,6
n008350,000000011760.jpg,0002_01.jpg,6
n008351,0023_01.jpg,000000012667.jpg,6
n008352,000000013004.jpg,0022_01.jpg,6
n008353,0001_01.jpg,000000013597.jpg,6
n008354,0033_01.jpg,000000014380.jpg,6
n008355,000000015079.jpg,0019_01.jpg,6
n008356,000000015272.jpg,0015_01.jpg,6
n008357,0011_01.jpg,000000015440.jpg,6
n008358,0019_01.jpg,000000015497.jpg,6
n008359,000000018575.jpg,0027_01.jpg,6
n008360,0010_01.jpg,000000018737.jpg,6
n008362,0030_01.jpg,000000019109.jpg,6
n008363,0015_01.jpg,000000019742.jpg,6
n008364,000000021465.jpg,0013_01.jpg,6
n008365,000000021503.jpg,0014_01.jpg,6
n008366,000000022396.jpg,0013_02.jpg,6
n008367,0084_02.jpg,000000022589.jpg,6
n008368,000000022969.jpg,0017_02.jpg,6
n008369,000000023230.jpg,0025_01.jpg,6
n008370,000000023272.jpg,0014_01.jpg,6
n008371,000000023937.jpg,0016_01.jpg,6
n008372,0010_01.jpg,000000024919.jpg,6
n008373,0009_02.jpg,000000026465.jpg,6
n008374,0015_01.jpg,000000026926.jpg,6
n008375,000000027932.jpg,0026_01.jpg,6
n008376,000000027982.jpg,0028_02.jpg,6
n008377,0018_01.jpg,000000028449.jpg,6
n008378,000000028993.jpg,0014_01.jpg,6
n008379,0005_01.jpg,000000029397.jpg,6
n008380,000000029640.jpg,0015_01.jpg,6
n008381,0019_01.jpg,000000029675.jpg,6
n008382,000000030213.jpg,0014_01.jpg,6
n008383,0011_01.jpg,000000031749.jpg,0
n008384,000000032038.jpg,0002_01.jpg,6
n008386,0019_01.jpg,000000032735.jpg,6
n008387,000000033109.jpg,0002_01.jpg,6
n008388,000000033707.jpg,0025_01.jpg,6
n008389,0099_01.jpg,000000034760.jpg,6
n008390,0011_01.jpg,000000034873.jpg,6
n008391,0010_01.jpg,000000036660.jpg,6
n008392,000000036678.jpg,0010_01.jpg,6
n008393,0010_01.jpg,000000037670.jpg,6
n008394,0011_01.jpg,000000038576.jpg,6
n008395,0054_01.jpg,3D_Character_modeling_Animations_USA-1394443434m.jpg,6
n008396,0016_01.jpg,3d-characters-cartoon-woman-model-_6_grande.jpg,6
n008397,000000001532.jpg,0014_01.jpg,6
n008398,000000005503.jpg,0010_01.jpg,6
n008399,000000007991.jpg,0010_03.jpg,6
n008400,000000039477.jpg,0010_01.jpg,6
n008401,0035_01.jpg,businessman-cartoon-character-3d-model-max-obj-fbx-c4d.png,0
n008402,ccc_600_lq_0001.jpg,0017_02.jpg,6
n008403,character2-0010_1024x.jpg,0226_01.jpg,6
n008404,character-gaucho-3d-model-269069.jpg,0014_01.jpg,6
n008405,0013_01.jpg,chibi-2380489_960_720.png,0
n008406,0019_01.jpg,moe-3325241_960_720.png,6
n008407,0016_01.jpg,pexels-photo-145939.jpg,6
n008408,pexels-photo-247431.jpg,0026_01.jpg,6
n008409,0013_01.jpg,pexels-photo-1851164.jpg,6
n008410,0002_01.jpg,pexels-photo-2023384.jpg,6
n008411,0018_01.jpg,pexels-photo-2339069.jpg,6
n008412,000000000776.jpg,0022_01.jpg,6
